block_id,tot_fees
2817,201000000
12986,3000000
14050,10000000
19867,14000000
20774,13000000
23083,12000000
25472,12000000
28511,22000000
34407,26000000
39323,44000000
48895,26000000
55819,671000000
55869,264000000
57052,99000000
63531,137000000
67262,1000000
67822,3000000
67823,1000000
67825,1000000
67827,2000000
67832,3000000
67833,1000000
67837,1000000
67840,1000000
67843,1000000
67847,1000000
67851,1000000
67853,1000000
67854,2000000
67859,1000000
67861,1000000
67862,2000000
67875,1000000
67876,1000000
67882,1000000
67886,1000000
67889,1000000
67891,1000000
67899,1000000
67900,1000000
67902,2000000
67904,1000000
67905,1000000
67907,1000000
67910,1000000
67912,1000000
67916,5000000
67918,3000000
67919,1000000
67922,1000000
67923,1000000
67927,1000000
67930,2000000
67931,1000000
67937,3000000
67938,1000000
67940,3000000
67944,1000000
67967,2000000
67983,3000000
68534,1000000
68535,1000000
68537,1000000
68538,1000000
68547,1000000
68548,1000000
68550,2000000
68557,1000000
68558,3000000
68559,2000000
68561,2000000
68562,2000000
68583,2000000
68585,1000000
68586,2000000
68587,1000000
68589,3000000
68779,2000000
68780,2000000
68789,1000000
68790,2000000
68791,2000000
68792,3000000
68793,1000000
68803,1000000
68809,2000000
68811,1000000
68814,2000000
68815,1000000
68825,2000000
68826,2000000
68829,2000000
68831,1000000
68837,1000000
68838,2000000
68842,1000000
68844,1000000
68847,1000000
68852,2000000
68855,3000000
68857,1000000
68859,2000000
68868,2000000
68870,1000000
68872,1000000
68873,1000000
68879,1000000
68883,1000000
68888,1000000
68892,1000000
68900,2000000
68903,1000000
68905,1000000
68907,1000000
68908,1000000
68916,2000000
68917,1000000
68921,1000000
68922,4000000
68924,1000000
68925,1000000
68927,1000000
68931,1000000
68933,1000000
68934,3000000
68946,2000000
68948,1000000
68949,3000000
68950,2000000
68951,2000000
68955,2000000
68956,2000000
68958,2000000
68962,1000000
68964,1000000
68965,1000000
68966,1000000
68969,1000000
68970,2000000
68973,2000000
69838,1000000
70113,1000000
70114,1000000
70125,1000000
70129,1000000
70131,1000000
70144,1000000
70145,1000000
70172,1000000
70188,1000000
70191,1000000
70196,3000000
70197,2000000
70200,1000000
70209,152000000
70210,107000000
70211,2000000
70212,1000000
70218,2000000
70219,1000000
70226,2000000
70227,1000000
70231,1000000
70236,2000000
70312,3000000
70315,1000000
70332,1000000
70333,1000000
70338,1000000
70366,1000000
70377,1000000
70391,1000000
70407,1000000
70412,2000000
70421,1000000
70434,1000000
70442,1000000
70443,1000000
70449,1000000
70454,1000000
70457,1000000
70476,1000000
70480,2000000
70509,5000971000
70527,1000000
70532,2000000
70533,1000000
70537,119000000
70538,1000000
70539,1000000
70545,1000000
70547,1000000
70548,3000000
70564,1000000
70565,1000000
70568,1000000
70574,1000000
70576,2000000
70579,2000000
70585,1000000
70590,1000000
70601,2000000
70610,1000000
70613,3000000
70616,1000000
70618,1000000
70634,1000000
70635,2000000
70636,2000000
70637,1000000
70639,2000000
70645,1000000
70647,1000000
70648,2000000
70649,5000000
70652,1000000
70655,1000000
70661,1000000
70662,4000000
70663,3000000
70664,4000000
70665,2000000
70667,4000000
70671,1000000
70672,1000000
70677,1000000
70682,2000000
70687,1000000
70689,1000000
70697,1000000
70707,1000000
70709,1000000
70713,1000000
70721,1000000
70734,2000000
70735,2000000
70740,1000000
70744,1000000
70747,1000000
70760,1000000
70762,2000000
70880,95000000
71052,89000000
71144,2000000
71148,3000000
71154,2000000
71158,1000000
71159,1000000
71164,1000000
71165,1000000
71167,1000000
71169,1000000
71192,1000000
71200,1000000
71212,1000000
71216,2000000
71220,4000000
71222,2000000
71228,1000000
71232,1000000
71233,1000000
71234,1000000
71240,1000000
71246,1000000
71256,1000000
71272,2000000
71281,1000000
71285,1000000
71290,1000000
71298,1000000
71302,1000000
71309,1000000
71310,1000000
71312,1000000
71313,1000000
71320,1000000
71322,1000000
71339,1000000
71341,1000000
71345,1000000
71346,1000000
71347,2000000
71348,1000000
71350,1000000
71353,1000000
71359,1000000
71381,1000000
71388,1000000
71394,1000000
71412,1000000
71442,1000000
71447,1000000
71450,1000000
71468,1000000
71496,1000000
71497,1000000
71519,2000000
71525,1000000
71548,1000000
71560,1000000
71586,1000000
71588,1000000
71589,1000000
71591,1000000
71598,1000000
71608,1000000
71621,1000000
71622,1000000
71625,2000000
71626,2000000
71633,1000000
71643,1000000
71652,1000000
71660,4000000
71663,2000000
71702,2000000
71728,1000000
71739,1000000
71745,1000000
71757,2000000
71779,1000000
71806,1000000
71807,3000000
71811,1000000
71813,1000000
71814,1000000
71816,1000000
71817,2000000
71819,1000000
71825,1000000
71837,1000000
72763,231000000
72855,4999971000
73272,432000000
74784,67000000
74939,155000000
75013,1000000
75047,10000000000
76171,80000000
76901,10
76908,10
76915,10
76921,10
76931,10
76934,10
76940,10
76942,10
76951,10
76958,10
76961,10
77038,1000000
77043,1000000
77045,1000000
77046,1000000
77048,1000000
77049,1000000
77053,1000000
77055,1000000
77059,1000000
77067,1000000
77074,1000000
77076,1000000
77078,1000000
77088,1000000
77092,1000000
77095,1000000
77104,2000000
77107,1000000
77111,1000000
77119,1000000
77122,1000000
77126,1000000
77135,1000000
77137,1000000
77144,1000000
77150,1000000
77158,1000000
77160,1000000
77164,1000000
77170,1000000
77174,1000000
77180,1000000
77183,1000000
77185,1000000
77186,1000000
77210,1000000
77212,7000000
77217,2000000
77218,1000000
77219,1000000
77224,1000000
77228,1000000
77236,1000000
77237,3000000
77245,1000000
77248,1000000
77261,2000000
77270,1000000
77297,20
77306,10
77323,1000000
77346,2000000
77351,1000000
77364,2000000
77374,1000000
77382,2000000
77388,1000000
77397,1000000
77398,1000000
77409,1000000
77413,1000000
77414,1000000
77420,1000000
77437,1000000
77440,1000000
77449,1000000
77460,1000000
77465,1000000
77467,1000000
77471,1000000
77489,2000000
77492,1000000
77495,2000000
77586,10
77601,10
78187,1000000
78330,10
78632,10
78707,10
78783,1000000
78785,6000000
78786,1000000
78787,1000000
78834,1000000
78837,1000000
78873,10
78914,10
79293,3000000
79301,1000000
79309,1000000
79321,1000000
79322,1000000
79324,1000000
79326,2000000
79328,2000000
79331,1000000
79334,2000000
79560,10
79690,960352
80403,5000000
80423,13000000
81167,10
82383,2000000
82572,1000000
82573,13000000
82574,16000000
82587,2000000
82588,1000000
82627,2000000
82633,1000000
82639,1000000
82640,1000000
82641,1000000
82642,2000000
82672,103000000
83031,56000000
83193,776615
83239,99
83245,99
83329,776615
83369,10
83489,99
83755,99
83761,10
84495,109
84963,35000000
85927,1000000
85930,1000000
86774,776615
87066,5000000
88755,166666666
90535,83000000
92059,48000000
92915,1000000
92916,2000000
92921,1000000
92931,1000000
92932,2000000
92933,1000000
92945,1000000
92947,1000000
92948,1000000
92951,1000000
92953,1000000
92955,1000000
92958,3000000
92964,2000000
92966,2000000
92967,2000000
92968,1000000
92969,1000000
92971,1000000
92975,1000000
92978,2000000
92984,1000000
92985,2000000
92986,1000000
92987,1000000
92992,2000000
92994,1000000
93000,2000000
93001,4000000
93003,3000000
93005,2000000
93006,2000000
93007,2000000
93010,3000000
93011,2000000
93012,2000000
93013,3000000
93015,2000000
93018,6000000
93020,1000000
93022,1000000
93023,1000000
93026,1000000
93030,1000000
93036,2000000
93037,1000000
93038,4000000
93039,1000000
93040,1000000
93041,2000000
93042,1000000
93043,1000000
93044,1000000
93045,3000000
93046,1000000
93047,1000000
93049,2000000
93053,1000000
93054,2000000
93055,3000000
93056,2000000
93057,1000000
93058,3000000
93060,5000000
93061,1000000
93064,1000000
93065,1000000
93066,3000000
93068,2000000
93070,3000000
93072,2000000
93073,1000000
93074,1000000
93079,2000000
93080,2000000
93082,1000000
93083,1000000
93088,2000000
93089,2000000
93090,3000000
93093,2000000
93094,1000000
93095,1000000
93098,1000000
93099,1000000
93102,1000000
93103,1000000
93104,1000000
93110,2000000
93111,3000000
93112,1000000
93114,2000000
93118,1000000
93121,1000000
93123,5000000
93124,2000000
93125,1000000
93126,1000000
93127,1000000
93133,2000000
93134,1000000
93136,1000000
93138,1000000
93140,1000000
93141,1000000
93145,1000000
93147,1000000
93148,1000000
93150,2000000
93155,3000000
93156,1000000
93157,1000000
93158,1000000
93159,2000000
93161,1000000
93162,1000000
93167,3000000
93168,2000000
93170,1000000
93172,1000000
93173,1000000
93174,1000000
93176,1000000
93177,1000000
93178,1000000
93182,2000000
93183,1000000
93185,1000000
93187,1000000
