tx_id,block_id,total_input,total_output,fees
2863,2817,3493000000,3393000000,100000000
2864,2817,3393000000,3293000000,100000000
2865,2817,3293000000,3292000000,1000000
13100,12986,5000000000,4997000000,3000000
14171,14050,10000000000,9990000000,10000000
20010,19867,604967000000,604953000000,14000000
20920,20774,554953000000,554940000000,13000000
23238,23083,505000000000,504988000000,12000000
25641,25472,504988000000,504976000000,12000000
28702,28511,1005000000000,1004978000000,22000000
34639,34407,505000000000,504988000000,12000000
34640,34407,574988000000,574974000000,14000000
39652,39323,1905000000000,1904956000000,44000000
49547,48895,15000000000,14974000000,26000000
60909,55819,2408000000,2345000000,63000000
60911,55819,2629000000,2356000000,273000000
60913,55819,5000000000,4665000000,335000000
60972,55869,1464000000,1200000000,264000000
62446,57052,1000099000000,1000000000000,99000000
71418,63531,2000137000000,2000000000000,137000000
79735,67262,7000000,6000000,1000000
84787,67822,500000000,499000000,1000000
84789,67822,494000000,493000000,1000000
84790,67822,488000000,487000000,1000000
84792,67823,482000000,481000000,1000000
84795,67825,476000000,475000000,1000000
84799,67827,470000000,469000000,1000000
84800,67827,464000000,463000000,1000000
84808,67832,458000000,457000000,1000000
84809,67832,452000000,451000000,1000000
84810,67832,446000000,445000000,1000000
84812,67833,440000000,439000000,1000000
84822,67837,434000000,433000000,1000000
84827,67840,428000000,427000000,1000000
84832,67843,422000000,421000000,1000000
84842,67847,250000000,249000000,1000000
84852,67851,244000000,243000000,1000000
84857,67853,238000000,237000000,1000000
84866,67854,125000000,124000000,1000000
84868,67854,119000000,118000000,1000000
84875,67859,113000000,112000000,1000000
84882,67861,107000000,106000000,1000000
84884,67862,101000000,100000000,1000000
84885,67862,95000000,94000000,1000000
84909,67875,89000000,88000000,1000000
84913,67876,83000000,82000000,1000000
84924,67882,77000000,76000000,1000000
84932,67886,71000000,70000000,1000000
84936,67889,65000000,64000000,1000000
84940,67891,59000000,58000000,1000000
84956,67899,53000000,52000000,1000000
84958,67900,47000000,46000000,1000000
84963,67902,41000000,40000000,1000000
84965,67902,35000000,34000000,1000000
84968,67904,29000000,28000000,1000000
84971,67905,23000000,22000000,1000000
84975,67907,17000000,16000000,1000000
84984,67910,11000000,10000000,1000000
84992,67912,232000000,231000000,1000000
85000,67916,226000000,225000000,1000000
85001,67916,220000000,219000000,1000000
85002,67916,214000000,213000000,1000000
85003,67916,208000000,207000000,1000000
85004,67916,202000000,201000000,1000000
85008,67918,196000000,195000000,1000000
85009,67918,190000000,189000000,1000000
85010,67918,184000000,183000000,1000000
85012,67919,178000000,177000000,1000000
85017,67922,172000000,171000000,1000000
85020,67923,166000000,165000000,1000000
85025,67927,160000000,159000000,1000000
85032,67930,154000000,153000000,1000000
85033,67930,148000000,147000000,1000000
85035,67931,142000000,141000000,1000000
85050,67937,136000000,135000000,1000000
85051,67937,130000000,129000000,1000000
85052,67937,124000000,123000000,1000000
85054,67938,118000000,117000000,1000000
85059,67940,112000000,111000000,1000000
85061,67940,106000000,105000000,1000000
85063,67940,16000000,15000000,1000000
85069,67944,10000000,9000000,1000000
85125,67967,101000000,100000000,1000000
85126,67967,99000000,98000000,1000000
85163,67983,97000000,96000000,1000000
85164,67983,95000000,94000000,1000000
85165,67983,93000000,92000000,1000000
86379,68534,51000000,50000000,1000000
86381,68535,45000000,44000000,1000000
86387,68537,39000000,38000000,1000000
86392,68538,33000000,32000000,1000000
86407,68547,27000000,26000000,1000000
86409,68548,21000000,20000000,1000000
86412,68550,15000000,14000000,1000000
86415,68550,9000000,8000000,1000000
86450,68557,1465000000,1464000000,1000000
86453,68558,1459000000,1458000000,1000000
86458,68558,1453000000,1452000000,1000000
86460,68558,1447000000,1446000000,1000000
86462,68559,1441000000,1440000000,1000000
86465,68559,1435000000,1434000000,1000000
86477,68561,1429000000,1428000000,1000000
86479,68561,1423000000,1422000000,1000000
86511,68562,56000000,55000000,1000000
86514,68562,50000000,49000000,1000000
86569,68583,50000000,49000000,1000000
86571,68583,44000000,43000000,1000000
86585,68585,38000000,37000000,1000000
86595,68586,32000000,31000000,1000000
86598,68586,26000000,25000000,1000000
86600,68587,20000000,19000000,1000000
86608,68589,14000000,13000000,1000000
86614,68589,8000000,7000000,1000000
86615,68589,6000000,5000000,1000000
87070,68779,7500000000,7499000000,1000000
87073,68779,7494000000,7493000000,1000000
87079,68780,7488000000,7487000000,1000000
87080,68780,7482000000,7481000000,1000000
87093,68789,7476000000,7475000000,1000000
87105,68790,7470000000,7469000000,1000000
87108,68790,7464000000,7463000000,1000000
87111,68791,7458000000,7457000000,1000000
87112,68791,7452000000,7451000000,1000000
87117,68792,7446000000,7445000000,1000000
87119,68792,7440000000,7439000000,1000000
87120,68792,7434000000,7433000000,1000000
87122,68793,7428000000,7427000000,1000000
87145,68803,500000000,499000000,1000000
87158,68809,494000000,493000000,1000000
87160,68809,488000000,487000000,1000000
87163,68811,482000000,481000000,1000000
87170,68814,476000000,475000000,1000000
87171,68814,470000000,469000000,1000000
87173,68815,464000000,463000000,1000000
87191,68825,458000000,457000000,1000000
87192,68825,452000000,451000000,1000000
87195,68826,446000000,445000000,1000000
87196,68826,440000000,439000000,1000000
87200,68829,434000000,433000000,1000000
87201,68829,428000000,427000000,1000000
87205,68831,422000000,421000000,1000000
87217,68837,416000000,415000000,1000000
87220,68838,410000000,409000000,1000000
87221,68838,404000000,403000000,1000000
87226,68842,398000000,397000000,1000000
87229,68844,392000000,391000000,1000000
87233,68847,386000000,385000000,1000000
87243,68852,380000000,379000000,1000000
87244,68852,374000000,373000000,1000000
87276,68855,368000000,367000000,1000000
87277,68855,362000000,361000000,1000000
87278,68855,356000000,355000000,1000000
87283,68857,350000000,349000000,1000000
87286,68859,344000000,343000000,1000000
87288,68859,338000000,337000000,1000000
87298,68868,332000000,331000000,1000000
87299,68868,326000000,325000000,1000000
87302,68870,320000000,319000000,1000000
87305,68872,314000000,313000000,1000000
87308,68873,308000000,307000000,1000000
87319,68879,302000000,301000000,1000000
87327,68883,296000000,295000000,1000000
87334,68888,290000000,289000000,1000000
87342,68892,284000000,283000000,1000000
87352,68900,278000000,277000000,1000000
87353,68900,272000000,271000000,1000000
87357,68903,266000000,265000000,1000000
87361,68905,260000000,259000000,1000000
87366,68907,254000000,253000000,1000000
87369,68908,248000000,247000000,1000000
87379,68916,242000000,241000000,1000000
87380,68916,236000000,235000000,1000000
87382,68917,230000000,229000000,1000000
87389,68921,224000000,223000000,1000000
87391,68922,218000000,217000000,1000000
87394,68922,212000000,211000000,1000000
87395,68922,206000000,205000000,1000000
87396,68922,200000000,199000000,1000000
87401,68924,194000000,193000000,1000000
87404,68925,188000000,187000000,1000000
87408,68927,182000000,181000000,1000000
87415,68931,176000000,175000000,1000000
87419,68933,170000000,169000000,1000000
87422,68934,164000000,163000000,1000000
87424,68934,158000000,157000000,1000000
87425,68934,152000000,151000000,1000000
87451,68946,146000000,145000000,1000000
87456,68946,140000000,139000000,1000000
87462,68948,134000000,133000000,1000000
87465,68949,128000000,127000000,1000000
87467,68949,122000000,121000000,1000000
87470,68949,116000000,115000000,1000000
87474,68950,110000000,109000000,1000000
87475,68950,104000000,103000000,1000000
87477,68951,98000000,97000000,1000000
87481,68951,92000000,91000000,1000000
87498,68955,86000000,85000000,1000000
87501,68955,80000000,79000000,1000000
87503,68956,74000000,73000000,1000000
87504,68956,68000000,67000000,1000000
87508,68958,62000000,61000000,1000000
87509,68958,56000000,55000000,1000000
87516,68962,50000000,49000000,1000000
87527,68964,44000000,43000000,1000000
87540,68965,38000000,37000000,1000000
87543,68966,32000000,31000000,1000000
87550,68969,26000000,25000000,1000000
87553,68970,20000000,19000000,1000000
87558,68970,14000000,13000000,1000000
87565,68973,8000000,7000000,1000000
87566,68973,6000000,5000000,1000000
89774,69838,6000000,5000000,1000000
90854,70113,1870000000,1869000000,1000000
90856,70114,1864000000,1863000000,1000000
90870,70125,1858000000,1857000000,1000000
90879,70129,1852000000,1851000000,1000000
90883,70131,1846000000,1845000000,1000000
90901,70144,1840000000,1839000000,1000000
90903,70145,1834000000,1833000000,1000000
90945,70172,90000000,89000000,1000000
90976,70188,84000000,83000000,1000000
90986,70191,78000000,77000000,1000000
92186,70196,72000000,71000000,1000000
92191,70196,66000000,65000000,1000000
92192,70196,60000000,59000000,1000000
92387,70197,54000000,53000000,1000000
92389,70197,48000000,47000000,1000000
92425,70200,42000000,41000000,1000000
92435,70209,24152000000,24000000000,152000000
92438,70210,967000000,860000000,107000000
92446,70211,36000000,35000000,1000000
92447,70211,30000000,29000000,1000000
92449,70212,24000000,23000000,1000000
92457,70218,18000000,17000000,1000000
92461,70218,12000000,11000000,1000000
92463,70219,6000000,5000000,1000000
92473,70226,105000000,104000000,1000000
92474,70226,99000000,98000000,1000000
92476,70227,93000000,92000000,1000000
92484,70231,87000000,86000000,1000000
92491,70236,81000000,80000000,1000000
92492,70236,75000000,74000000,1000000
92620,70312,200000000,199000000,1000000
92622,70312,194000000,193000000,1000000
92623,70312,188000000,187000000,1000000
92627,70315,182000000,181000000,1000000
92655,70332,176000000,175000000,1000000
92657,70333,170000000,169000000,1000000
92663,70338,164000000,163000000,1000000
92703,70366,158000000,157000000,1000000
92721,70377,152000000,151000000,1000000
92751,70391,146000000,145000000,1000000
92779,70407,100000000,99000000,1000000
92785,70412,94000000,93000000,1000000
92787,70412,88000000,87000000,1000000
92802,70421,82000000,81000000,1000000
92820,70434,76000000,75000000,1000000
92833,70442,70000000,69000000,1000000
92835,70443,64000000,63000000,1000000
92848,70449,58000000,57000000,1000000
92857,70454,52000000,51000000,1000000
92863,70457,46000000,45000000,1000000
92893,70476,40000000,39000000,1000000
92905,70480,10000000,9000000,1000000
92908,70480,8000000,7000000,1000000
92974,70509,6000000,5000000,1000000
92976,70509,5000000000,29000,4999971000
93014,70527,300000000,299000000,1000000
93026,70532,294000000,293000000,1000000
93027,70532,288000000,287000000,1000000
93030,70533,282000000,281000000,1000000
93036,70537,276000000,275000000,1000000
93039,70537,4675431000000,4675313000000,118000000
93046,70538,270000000,269000000,1000000
93049,70539,264000000,263000000,1000000
93059,70545,258000000,257000000,1000000
93065,70547,252000000,251000000,1000000
93068,70548,246000000,245000000,1000000
93072,70548,240000000,239000000,1000000
93073,70548,234000000,233000000,1000000
93107,70564,228000000,227000000,1000000
93109,70565,222000000,221000000,1000000
93117,70568,216000000,215000000,1000000
93129,70574,210000000,209000000,1000000
93132,70576,204000000,203000000,1000000
93133,70576,198000000,197000000,1000000
93137,70579,192000000,191000000,1000000
93139,70579,186000000,185000000,1000000
93148,70585,180000000,179000000,1000000
93156,70590,174000000,173000000,1000000
93177,70601,168000000,167000000,1000000
93178,70601,162000000,161000000,1000000
93193,70610,156000000,155000000,1000000
93197,70613,150000000,149000000,1000000
93200,70613,144000000,143000000,1000000
93201,70613,138000000,137000000,1000000
93209,70616,132000000,131000000,1000000
93213,70618,126000000,125000000,1000000
93256,70634,120000000,119000000,1000000
93260,70635,114000000,113000000,1000000
93261,70635,108000000,107000000,1000000
93263,70636,102000000,101000000,1000000
93265,70636,96000000,95000000,1000000
93267,70637,90000000,89000000,1000000
93272,70639,84000000,83000000,1000000
93273,70639,78000000,77000000,1000000
93281,70645,72000000,71000000,1000000
93287,70647,66000000,65000000,1000000
93289,70648,60000000,59000000,1000000
93291,70648,54000000,53000000,1000000
93294,70649,48000000,47000000,1000000
93297,70649,42000000,41000000,1000000
93298,70649,36000000,35000000,1000000
93299,70649,30000000,29000000,1000000
93300,70649,24000000,23000000,1000000
93304,70652,18000000,17000000,1000000
93308,70655,12000000,11000000,1000000
93321,70661,6000000,5000000,1000000
93329,70662,1328000000,1327000000,1000000
93330,70662,1322000000,1321000000,1000000
93333,70662,1316000000,1315000000,1000000
93334,70662,1310000000,1309000000,1000000
93340,70663,1304000000,1303000000,1000000
93341,70663,1298000000,1297000000,1000000
93342,70663,1292000000,1291000000,1000000
93347,70664,1286000000,1285000000,1000000
93350,70664,1280000000,1279000000,1000000
93353,70664,1274000000,1273000000,1000000
93354,70664,1268000000,1267000000,1000000
